    Lower        Upper  Count
     0.92 -      1.00: 1
     1.00 -      1.09: 0
     1.09 -      1.19: 0
     1.19 -      1.30: 0
     1.30 -      1.41: 0
     1.41 -      1.54: 0
     1.54 -      1.68: 0
     1.68 -      1.83: 0
     1.83 -      2.00: 1
     2.00 -      2.18: 0
     2.18 -      2.38: 0
     2.38 -      2.59: 0
     2.59 -      2.83: 0
     2.83 -      3.08: 1
     3.08 -      3.36: 0
     3.36 -      3.67: 0
     3.67 -      4.00: 1
     4.00 -      4.36: 0
     4.36 -      4.76: 0
     4.76 -      5.19: 1
     5.19 -      5.66: 0
     5.66 -      6.17: 1
     6.17 -      6.73: 0
     6.73 -      7.34: 1
     7.34 -      8.00: 1
     8.00 -      8.72: 0
     8.72 -      9.51: 1
     9.51 -     10.37: 1
    10.37 -     11.31: 1
    11.31 -     12.34: 1
    12.34 -     13.45: 1
    13.45 -     14.67: 1
    14.67 -     16.00: 2
    16.00 -     17.45: 1
    17.45 -     19.03: 2
    19.03 -     20.75: 1
    20.75 -     22.63: 2
    22.63 -     24.68: 2
    24.68 -     26.91: 2
    26.91 -     29.34: 3
    29.34 -     32.00: 3
    32.00 -     34.90: 2
    34.90 -     38.05: 4
    38.05 -     41.50: 3
    41.50 -     45.25: 4
    45.25 -     49.35: 4
    49.35 -     53.82: 4
    53.82 -     58.69: 5
    58.69 -     64.00: 6
    64.00 -     69.79: 5
    69.79 -     76.11: 7
    76.11 -     83.00: 6
    83.00 -     90.51: 8
    90.51 -     98.70: 8
    98.70 -    107.63: 9
   107.63 -    117.38: 10
   117.38 -    128.00: 11
   128.00 -    139.58: 11
   139.58 -    152.22: 13
   152.22 -    166.00: 13
   166.00 -    181.02: 16
   181.02 -    197.40: 16
   197.40 -    215.27: 18
   215.27 -    234.75: 19
   234.75 -    256.00: 22
   256.00 -    279.17: 23
   279.17 -    304.44: 25
   304.44 -    331.99: 27
   331.99 -    362.04: 31
   362.04 -    394.81: 32
   394.81 -    430.54: 36
   430.54 -    469.51: 39
   469.51 -    512.00: 43
   512.00 -    558.34: 46
   558.34 -    608.87: 50
   608.87 -    663.98: 55
   663.98 -    724.08: 61
   724.08 -    789.61: 65
   789.61 -    861.08: 72
   861.08 -    939.01: 78
   939.01 -   1024.00: 85
  1024.00 -   1116.68: 92
  1116.68 -   1217.75: 101
  1217.75 -   1327.96: 110
  1327.96 -   1448.15: 121
  1448.15 -   1579.22: 131
  1579.22 -   1722.16: 143
  1722.16 -   1878.02: 156
  1878.02 -   2048.00: 170
  2048.00 -   2233.36: 185
  2233.36 -   2435.50: 202
  2435.50 -   2655.93: 220
  2655.93 -   2896.31: 241
  2896.31 -   3158.45: 262
  3158.45 -   3444.31: 286
  3444.31 -   3756.05: 312
  3756.05 -   4096.00: 340
  4096.00 -   4466.72: 370
  4466.72 -   4870.99: 404
  4870.99 -   5311.85: 441
  5311.85 -   5792.62: 481
  5792.62 -   6316.90: 524
  6316.90 -   6888.62: 572
  6888.62 -   7512.10: 624
  7512.10 -   8192.00: 680
  8192.00 -   8933.44: 741
  8933.44 -   9741.98: 808
  9741.98 -  10623.71: 882
 10623.71 -  11585.24: 962
 11585.24 -  12633.79: 1048
 12633.79 -  13777.25: 1144
 13777.25 -  15024.19: 1247
 15024.19 -  16384.00: 1360
 16384.00 -  17866.88: 1482
 17866.88 -  19483.97: 1617
 19483.97 -  21247.42: 1764
 21247.42 -  23170.48: 1923
 23170.48 -  25267.58: 2097
 25267.58 -  27554.49: 2287
 27554.49 -  30048.39: 2494
 30048.39 -  32768.00: 2720
 32768.00 -  35733.76: 2965
 35733.76 -  38967.94: 3234
 38967.94 -  42494.84: 3527
 42494.84 -  46340.95: 3846
 46340.95 -  50535.16: 4195
 50535.16 -  55108.99: 4573
 55108.99 -  60096.78: 4988
 60096.78 -  65536.00: 5440
 65536.00 -  71467.51: 5931
 71467.51 -  77935.88: 6468
 77935.88 -  84989.68: 7054
 84989.68 -  92681.90: 7692
 92681.90 - 101070.33: 7318
